appid,title,developer,publisher,genres,languages,tags,release_date,price,old_userscore,is_free,detailed_description,about_the_game,short_description,pc_requirements,content_descriptors
1151340,Fallout 76,Bethesda Game Studios,Bethesda Softworks,RPG,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Traditional Chinese, Russian, Simplified Chinese, Spanish - Latin America, Portuguese - Brazillanguages with full audio support","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Remote Play on Tablet, Family Sharing",2020-04-14,"$39.99 ",,false,Fallout 76: Atlantic City - Boardwalk ParadiseBoar...,"Bethesda Game Studios, the award-winning creators ...",Bethesda Game Studios welcome you to Fallout 76. T...,Minimum:Requires a 64-bit processor and operating ...,"Blood and Gore
Drug Reference
Intense Violence
..."
240,Counter-Strike: Source,Valve,Valve,Action,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish","Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Family Sharing",2004-11-01,"$9.99 ",88,false,THE NEXT INSTALLMENT OF THE WORLD'S # 1 ONLINE ACT...,THE NEXT INSTALLMENT OF THE WORLD'S # 1 ONLINE ACT...,Counter-Strike: Source blends Counter-Strike's awa...,"
Minimum: 1.7 GHz Processor, 512MB RAM, DirectX® 8...",Includes intense violence and blood.
814380,Sekiro™: Shadows Die Twice - GOTY Edition,FromSoftware,"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)","Action, Adventure","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Thai, Traditional Chinese, Portuguese - Brazillanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing",2019-03-21,"$59.99 ",88,false,This Game of the Year Edition now includes bonus c...,This Game of the Year Edition now includes bonus c...,Game of the Year - The Game Awards 2019 Best Actio...,Minimum:OS *: Windows 7 64-bit | Windows 8 64-bit ...,
1366540,Dyson Sphere Program,Youthcat Studio,Gamera Games,"Indie, Simulation, Strategy, Early Access","Simplified Chinese, English","Single-player, Steam Achievements, Family Sharing",2021-01-20,"$19.99 ",,false,"New ContentThe mist envelops, veiling the radiance...",Dyson Sphere Program is a sci-fi sandbox construct...,Build the most efficient intergalactic factory in ...,Minimum:Requires a 64-bit processor and operating ...,
2344520,Diablo® IV,"Blizzard Entertainment, Inc."," Blizzard Entertainment, Inc.","Action, RPG","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Turkishlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases",2023-10-17,"$69.99 ",,false,ULTIMATE EDITIONRaise hell with the Ultimate Diabl...,"Join the fight for Sanctuary in Diablo IV, the ult...","Join the fight for Sanctuary in Diablo IV, the ult...",Minimum:Requires a 64-bit processor and operating ...,
365670,Blender,Blender Foundation,Blender Foundation,"Animation & Modeling, Design & Illustration, Video Production","English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Portugal, Russian, Ukrainian, Korean, Simplified Chinese, Vietnamese",,2015-04-24,,,true,Blender is a free and open source 3D creation suit...,Blender is a free and open source 3D creation suit...,Blender is the free and open source 3D creation su...,Minimum:OS: Windows 10Processor: Quad core CPUMemo...,
1568590,Goose Goose Duck,"Gaggle Studios, Inc.","Gaggle Studios, Inc.","Casual, Indie, Massively Multiplayer, Strategy, Free to Play","English, French, German, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Turkish, Italian, Czech, Hungarian, Polish, Russian, Vietnameselanguages with full audio support","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases",2021-10-03,,,true,Time to be a Silly Goose! Immerse yourself in the ...,Time to be a Silly Goose! Immerse yourself in the ...,Time to be a Silly Goose! Immerse yourself in the ...,Minimum:Requires a 64-bit processor and operating ...,
435150,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,"Eventyr, Rollespill, Strategi","Engelsk, Fransk, Tysk, Russisk, Polsk, Spansk – Spania, Forenklet kinesisk, Tradisjonell kinesisk, Italiensk, Koreansk, Tsjekkisk, Portugisisk – Brasil, Japanskspråk med full lydstøtte","Enkeltspiller, Flerspiller, PvP, PvP på nett, PvP med delt skjerm, Samarbeid, Samarbeid på nett, Samarbeid med delt skjerm, Delt skjerm, Steam-prestasjoner, Full støtte for kontroller, Steam-samlekort, Bildetekster er tilgjengelige, Steam Workshop, Steam Cloud, Inkluderer nivåredigering, Remote Play på nettbrett, Remote Play på TV, Remote Play Together, Familiedeling",2017-09-14,"$44.99 ",93,false,Digital Collector's EditionsOm spilletThe Divine i...,The Divine is dead. The Void approaches. And the p...,"The critically acclaimed RPG that raised the bar, ...",Minimum:Krever en 64-biters prosessor og operativs...,
1468810,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games","Action, Adventure, Indie, RPG, Simulation","Simplified Chinese, Traditional Chinese, English, Korean","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing",2023-05-26,"$19.99 ",,false,Join Our CommunityFollow our Facebook&TwitterIf yo...,Tale of Immortal is an open-world sandbox game bas...,Tale of Immortal is an open-world sandbox based on...,Minimum:OS *: Windows 7 / Windows 8 / Windows 10 6...,
1293830,Forza Horizon 4,Playground Games,Xbox Game Studios,Racing,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkishlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-03-09,"$59.99 ",,false,Forza Horizon 4 Ultimate EditionThe Forza Horizon ...,Dynamic seasons change everything at the world’s g...,Dynamic seasons change everything at the world’s g...,Minimum:Requires a 64-bit processor and operating ...,
916440,Anno 1800,Ubisoft Mainz,Ubisoft,"Simulation, Strategy","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Traditional Chineselanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards",1900-04-19,"$14.99 ",81,false,Comparative GridAnno 1800™ Definitive Annoversary ...,Anno 1800™ – Lead the Industrial Revolution!Welcom...,Anno 1800™ – Lead the Industrial Revolution! Welco...,Minimum:Requires a 64-bit processor and operating ...,
1222680,Need for Speed™ Heat,Ghost Games,Electronic Arts,"Action, Adventure, Racing, Sports","English, French, Italian, German, Spanish - Spain, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Arabic, Japanese, Polish, Russianlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play on Tablet, HDR available",2020-06-04,"$69.99 ",72,false,A thrilling race experience pits you against a cit...,A thrilling race experience pits you against a cit...,Hustle by day and risk it all at night in Need for...,Minimum:Requires a 64-bit processor and operating ...,
12210,Grand Theft Auto IV: The Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,"Action, Adventure","English, French, Italian, German, Spanish - Spainlanguages with full audio support","Single-player, Multi-player, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet",2020-03-24,"$19.99 ",90,false,Important Updates To Grand Theft Auto IV and Episo...,"Niko Bellic, Johnny Klebitz, and Luis Lopez all ha...","Niko Bellic, Johnny Klebitz and Luis Lopez all hav...",OS *: Windows 7 (plus Service Pack 1)             ...,
1811260,EA SPORTS™ FIFA 23,EA Canada & EA Romania,Electronic Arts,"Симуляторы, Спортивные игры","английский, французский, итальянский, немецкий, испанский, арабский, чешский, датский, нидерландский, японский, корейский, норвежский, польский, португальский, бр. португальский, русский, китайский (упр.), испанский Лат. Ам., шведский, китайский (трад.), турецкийозвучивание доступно на этих языках","Для одного игрока, Для нескольких игроков, Против игроков, Против игроков (по сети), Против игроков (общий экран), Кооперативная игра, Кооператив (по сети), Кооператив (общий экран), Общий экран, Кроссплатформенная игра, Достижения Steam, Контроллер (полностью), Покупки внутри приложения",2022-09-30,,,false,Вступайте в клуб с EA SPORTS FC™ 24https://store.s...,Всемирная играВстречайте главный турнир в женском ...,В FIFA 23 всемирная игра становится еще лучше с те...,Минимальные:64-разрядные процессор и операционная ...,
648800,Raft,Redbeet Interactive,Axolot Games,"Adventure, Indie, Simulation","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedishlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",2022-06-20,"$19.99 ",,false,"By yourself or with friends, your mission is to su...","By yourself or with friends, your mission is to su...",Raft™ throws you and your friends into an epic oce...,Minimum:Requires a 64-bit processor and operating ...,
386360,SMITE®,Titan Forge Games,Hi-Rez Studios,"Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy, Free to Play","English, French, German, Spanish - Spain, Polish, Russian, Portuguese - Brazil, Turkish, Simplified Chinese, Japaneselanguages with full audio support","Multi-player, Steam Achievements, Full controller support, Steam Trading Cards",2015-09-08,,83,true,https://store.steampowered.com/app/2437170/SMITE_2...,https://store.steampowered.com/app/2437170/SMITE_2...,"Join 40+ million players in SMITE, the Battlegroun...",Minimum:OS *: Windows 7 64-bit or newerProcessor: ...,
529340,Victoria 3,Paradox Development Studio,Paradox Interactive,"Simulation, Strategy","English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Turkish","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",2022-10-25,"$49.99 ",,false,Get your Grand Edition today!Get the full experien...,SHAPE A GRAND TOMORROWParadox Development Studio i...,Paradox Development Studio invites you to build yo...,Minimum:OS: Windows® 10 Home 64 BitProcessor: Inte...,
949230,Cities: Skylines II,Colossal Order Ltd.,Paradox Interactive,Simulation,"English, French, Italian, German, Japanese, Korean, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Traditional Chinese, Spanish - Spain","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2023-10-24,"$49.99 ",,false,Ultimate EditionCities: Skylines II: Ultimate Edit...,Raise a city from the ground up and transform it i...,Raise a city from the ground up and transform it i...,Minimum:Requires a 64-bit processor and operating ...,
1942280,Brotato,Blobfish,Blobfish,"Action, Casual, Indie, RPG","English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Italian, Turkish","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Family Sharing",2023-06-23,"$4.99 ",,false,Previous gameshttps://store.steampowered.com/app/1...,A spaceship from Potato World crashes onto an alie...,Brotato is a top-down arena shooter roguelite wher...,Minimum:OS *: Windows 7+Processor: 2 GhzMemory: 4 ...,
440900,Conan Exiles,Funcom,Funcom,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy","English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Italianlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Remote Play on Tablet, Remote Play on TV, Family Sharing",2018-05-08,"$39.99 ",,false,RoadmapAbout the GameConan Exiles is an online mul...,Conan Exiles is an online multiplayer survival gam...,"An online multiplayer survival game, now with sorc...",Minimum:Requires a 64-bit processor and operating ...,Conan Exiles has brutal combat where you can cut o...
1447430,小黑盒加速器,Qing Feng Beijing Technology,Qing Feng Beijing Technology,"Software Training, Web Publishing, Game Development",Simplified Chinese,,2021-05-24,,,true,小黑盒加速器有多个免费加速项供玩家体验：包括所有游戏平台登录、新上线游戏限免加速、全部国服游戏（包括...,小黑盒加速器有多个免费加速项供玩家体验：包括所有游戏平台登录、新上线游戏限免加速、全部国服游戏（包括...,免费加速Steam的小黑盒加速器登录Steam啦！可以与其他游戏同时运行，Steam一键启动加速，方...,Minimum:Requires a 64-bit processor and operating ...,
1716740,Starfield,Bethesda Game Studios,Bethesda Softworks,RPG,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Simplified Chineselanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2023-09-05,"$69.99 ",,false,STARFIELD DIGITAL PREMIUM EDITIONPremium Edition i...,Starfield is the first new universe in over 25 yea...,Starfield is the first new universe in 25 years fr...,Minimum:OS: Windows 10 version 21H1 (10.0.19043)Pr...,"Violence
Blood
Suggestive Themes
Strong Languag..."
397540,Borderlands 3,Gearbox Software,2K,"Action, RPG","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chineselanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",2020-03-13,"$8.99 ",81,false,Borderlands Collection: Pandora's BoxThis title is...,"The original shooter-looter returns, packing bazil...","The original shooter-looter returns, packing bazil...",Minimum:Requires a 64-bit processor and operating ...,This Game may contain content not appropriate for ...
1147690,NGU IDLE,4G,4G,"Adventure, Indie, Simulation, Free to Play",English,"Single-player, Steam Achievements, In-App Purchases, Steam Cloud, Remote Play on Tablet",2019-10-01,,,true,Everyone likes numbers that go up. Play NGU IDLE a...,Everyone likes numbers that go up. Play NGU IDLE a...,NGU Idle is a Free To Play Idle game that's full o...,Minimum:Requires a 64-bit processor and operating ...,"Some cartoonish depictions of butts are seen, and ..."
686810,Hell Let Loose,Team17,Team17,"Action, Indie, Massively Multiplayer, Simulation, Strategy","English, French, German, Spanish - Spain, Russian, Simplified Chinese, Polish, Portuguese - Brazil, Traditional Chinese, Korean, Japanese","Multi-player, PvP, Online PvP, Steam Achievements, Partial Controller Support, Family Sharing",2021-07-27,"$44.99 ",79,false,Check out tactical turn-based WW2 action in Classi...,Join the chaos of war and be a part of the most ic...,Join the ever expanding experience of Hell Let Loo...,Minimum:Requires a 64-bit processor and operating ...,This game features mature content not appropriate ...
1144200,Ready or Not,VOID Interactive,VOID Interactive,"Action, Adventure, Indie","English, French, German, Korean, Simplified Chinese, Italian, Spanish - Spain, Japanese, Polish, Portuguese - Portugal, Turkishlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Cloud",2023-12-13,"$49.99 ",,false,Discord ChannelBe sure to join the Ready or Not Di...,Los Sueños – The LSPD reports a massive upsurge in...,"Ready or Not is an intense, tactical, first-person...",Minimum:Requires a 64-bit processor and operating ...,Given the graphic nature of the game and the gritt...
838350,太吾绘卷 The Scroll Of Taiwu,ConchShip Games,ConchShip Games,"Adventure, Casual, Indie, RPG, Strategy, Early Access",Simplified Chinese,"Single-player, Remote Play on Tablet, Family Sharing",2018-09-20,"$19.99 ",,false,"OverviewIn the ""Taiwu"" Universe, besides playing a...","OverviewIn the ""Taiwu"" Universe, besides playing a...",*The Scroll of Taiwu* is an indie game based on Ch...,Minimum:Requires a 64-bit processor and operating ...,
761890,Albion Online,Sandbox Interactive GmbH,Sandbox Interactive GmbH,"Massively Multiplayer, RPG, Free to Play","English, French, German, Spanish - Spain, Portuguese - Brazil, Polish, Russian, Portuguese - Portugal, Spanish - Latin America, Korean, Simplified Chinese, Italian, Japanese, Traditional Chinese, Indonesianlanguages with full audio support","Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Partial Controller Support",2018-05-16,,,true,Albion Online is a sandbox MMORPG set in an open m...,Albion Online is a sandbox MMORPG set in an open m...,Albion Online is a fantasy sandbox MMORPG featurin...,Minimum:Requires a 64-bit processor and operating ...,
1948980,Hero's Adventure: Road to Passion,半瓶醋工作室（Half Amateur Studio）,Paleo,"Adventure, Indie, RPG, Simulation","Simplified Chinese, Traditional Chinese, English","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Family Sharing",2023-11-15,"$17.99 ",,false,Hero's Adventure: Road to Passion 1.0 ReleaseUpdat...,"In Hero's Adventure:Road to Passion, you commence ...",Hero's Adventure:Road to Passion is a wuxia open-w...,Minimum:Requires a 64-bit processor and operating ...,
239140,Dying Light,Techland,Techland,"Action, RPG","English, French, Italian, German, Spanish - Spain, Dutch, Polish, Portuguese - Brazil, Russian, Korean, Simplified Chinese, Spanish - Latin America, Japanese, Thai, Traditional Chinese, Turkish, Czechlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Remote Play on Tablet, Remote Play on TV, Family Sharing",2015-01-26,"$29.99 ",87,false,FREE WEEKEND - DYING LIGHT 2To kick off the launch...,From the creators of hit titles Dead Island and Ca...,First-person action survival game set in a post-ap...,MINIMUM:OS *: Windows® 7 64-bit / Windows® 8 64-bi...,
1283970,YoloMouse - Game Cursor Changer,Dragonrise Games,Dragonrise Games,"Animation & Modeling, Design & Illustration, Education, Software Training, Utilities","English, Simplified Chinese","Steam Workshop, Includes level editor",2020-05-01,"$3.99 ",,false,Use YoloMouse to change those obscure game cursors...,Use YoloMouse to change those obscure game cursors...,Use YoloMouse to change those obscure game cursors...,Minimum:Requires a 64-bit processor and operating ...,
386180,Crossout,Targem Games,Gaijin Network Ltd,"Action, Massively Multiplayer, Racing, Free to Play","English, Russian, German, Spanish - Spain, Japanese, Thai, French, Simplified Chineselanguages with full audio support","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Tablet, Remote Play on TV",2017-07-26,,,true,Just UpdatedThis major update includes: cryogenic ...,Crossout - the post-apocalyptic MMO Action game! C...,Crossout - the post-apocalyptic MMO Action game! C...,Minimum:OS: Windows® 10 64-bit/ Windows® 11Process...,
2336220,Feed the Cups,Vambear Games,IndieArk,"Casual, Indie, Simulation, Early Access","English, Simplified Chinese","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2024-02-20,"$15.99 ",,false,Welcome━(*｀∀´*)ノ亻!IndieArk Discord: https://discor...,"""Feed the Cups"" is a Roguelite multiplayer online ...",Feed the Cups is a Roguelite multiplayer online co...,Minimum:OS *: Windows 7+Processor: 2 GhzMemory: 4 ...,
2050650,Resident Evil 4,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Action, Adventure","English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin Americalanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing",2023-03-23,"$39.99 ",91,false,Featured DLChttps://store.steampowered.com/app/210...,"Survival is just the beginning.

Six years have p...",Survival is just the beginning. Six years have pas...,Minimum:Requires a 64-bit processor and operating ...,This Game may contain content not appropriate for ...
632360,Risk of Rain 2,Hopoo Games,Gearbox Publishing,"Action, Indie","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Turkish","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",2020-08-11,"$24.99 ",85,false,Survivors of the Void ExpansionAbout the GameSURVI...,SURVIVE AN ALIEN PLANETOver a dozen handcrafted lo...,Escape a chaotic alien planet by fighting through ...,Minimum:Requires a 64-bit processor and operating ...,
3590,Plants vs. Zombies GOTY Edition,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Strategy,English,"Single-player, Steam Achievements, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2009-05-05,"$4.99 ",87,false,"Zombies are invading your home, and the only defen...","Zombies are invading your home, and the only defen...","Zombies are invading your home, and the only defen...",OS *: Windows XP/Vista/7 Processor: 1.2GHz+ proces...,
1569040,Football Manager 2022,Sports Interactive,SEGA,"Simulation, Sports","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish","Single-player, Multi-player, Steam Achievements, Steam Cloud, Family Sharing",2021-11-09,,85,false,Football isn’t just about being the best and winni...,Football isn’t just about being the best and winni...,The closest thing to real football management. FM2...,Minimum:Requires a 64-bit processor and operating ...,
268500,XCOM® 2,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)",Strategy,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Traditional Chineselanguages with full audio support","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing",2016-02-04,"$2.99 ",88,false,"XCOM 2 is the sequel to XCOM: Enemy Unknown, the 2...","XCOM 2 is the sequel to XCOM: Enemy Unknown, the 2...","XCOM 2 is the sequel to XCOM: Enemy Unknown, the 2...","Minimum:OS *: Windows® 7, 64-bitProcessor: Intel C...",
1407200,World of Tanks,Wargaming Group Limited,Wargaming Group Limited,"Action, Massively Multiplayer, Simulation, Free to Play","English, French, Italian, German, Czech, Dutch, Finnish, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Romanian, Russian, Spanish - Latin America, Swedish, Turkish, Ukrainian, Traditional Chinese, Simplified Chineselanguages with full audio support","Multi-player, MMO, PvP, Online PvP, Steam Achievements, Steam Trading Cards, In-App Purchases",2021-04-28,,80,true,Command over 600 machines from World War II throug...,Command over 600 machines from World War II throug...,Jump into the free-to-play team-based shooter with...,Minimum:OS *: Windows 7 / 8 / 10 / 11 – 64-bitProc...,
1928420,Farlight 84,Farlight Games,Farlight Games,"Action, Adventure, Massively Multiplayer, Free to Play","English, French, German, Russian, Turkish, Vietnamese, Thai, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America, Italian, Japanese, Polish, Korean, Hindi, Indonesian, Simplified Chineselanguages with full audio support","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, In-App Purchases",2023-09-21,,,true,"READY FOR FARLIGHT 84 CHALLENGE?  Listen up, futur...","READY FOR FARLIGHT 84 CHALLENGE?  Listen up, futur...",Farlight 84 is a fast-paced Hero Battle Royale. Co...,Minimum:OS: 64-bit Windows 10Processor: AMD FX 435...,
367520,Hollow Knight,Team Cherry,Team Cherry,"Action, Adventure, Indie","English, French, German, Spanish - Spain, Korean, Simplified Chinese, Italian, Portuguese - Brazil, Russian, Japaneselanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",2017-02-24,"$14.99 ",87,false,Hollow Knight Expands with Free ContentGodmaster -...,Hollow Knight Expands with Free ContentGodmaster -...,Forge your own path in Hollow Knight! An epic acti...,Minimum:OS *: Windows 7 (64bit)Processor: Intel Co...,
1267910,Melvor Idle,Games by Malcs,Jagex Ltd,"Adventure, Casual, Indie, RPG","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",2021-11-18,"$9.99 ",,false,"Inspired by RuneScape, Melvor Idle takes the core ...","Inspired by RuneScape, Melvor Idle takes the core ...","Inspired by RuneScape, Melvor Idle takes the core ...",Minimum:Requires a 64-bit processor and operating ...,
270880,American Truck Simulator,SCS Software,SCS Software,"Indie, Simulation","English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Swedish, Turkish, Ukrainian, Traditional Chinese","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing",2016-02-02,"$4.99 ",76,false,Just UpdatedJoin your friends and keep on truckin'...,Experience legendary American trucks and deliver v...,Experience legendary American trucks and deliver v...,Minimum:OS *: Windows 7 64-bitProcessor: Intel Cor...,
233860,Kenshi,Lo-Fi Games,Lo-Fi Games,"Action, Indie, RPG, Simulation, Strategy","English, Spanish - Spain, Portuguese - Brazil, Japanese, German, Russian, French, Simplified Chinese, Koreanlanguages with full audio support","Single-player, Steam Trading Cards, Steam Workshop, Includes level editor, Family Sharing",2018-12-06,"$29.99 ",75,false,A free-roaming squad based RPG focusing on open-en...,A free-roaming squad based RPG focusing on open-en...,A free-roaming squad based RPG. Focusing on open-e...,Minimum:OS:64-bit WindowsProcessor:Dual-core 64-bi...,
1465360,SnowRunner,Saber Interactive,Focus Entertainment,"Adventure, Simulation","English, French, Italian, German, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2021-05-17,"$29.99 ",,false,Upcoming gameshttps://store.steampowered.com/app/2...,Get ready for the next-generation off-road experie...,Get ready for the next-generation off-road experie...,Minimum:Requires a 64-bit processor and operating ...,
214950,Total War: ROME II - Emperor Edition,CREATIVE ASSEMBLY,SEGA,Strategy,"English, German, French, Italian, Spanish - Spain, Russian, Polish, Czech, Turkishlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Trading Cards, Steam Cloud, Family Sharing",2013-09-02,"$59.99 ",76,false,Total War AcademyAbout the GameEmperor Edition is ...,Emperor Edition is the definitive edition of ROME ...,Emperor Edition is the definitive edition of ROME ...,MinimumOS *: XP/ Vista / Windows 7 / Windows 8 Pro...,
1794680,Vampire Survivors,poncle,poncle,"Action, Casual, Indie, RPG","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Turkish","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",2022-10-20,"$4.99 ",86,false,Vampire Survivors is a time survival game with min...,Vampire Survivors is a time survival game with min...,Mow down thousands of night creatures and survive ...,Minimum:Requires a 64-bit processor and operating ...,
